frame,x,y
0,1194,856
1,1194,856
2,1200,861
3,1205,865
4,1211,870
5,1217,875
6,1222,879
7,1228,884
8,1230,887
9,1235,892
10,1238,896
11,1227,896
12,1216,895
13,1205,895
14,1194,895
15,1183,895
16,1172,895
17,1161,895
18,1150,895
19,1139,895
20,1128,894
21,1117,894
22,1106,894
23,1095,894
24,1084,894
25,1072,894
26,1061,894
27,1050,894
28,1039,894
29,1028,893
30,1017,893
31,1006,893
32,995,893
33,984,893
34,973,893
35,962,893
36,951,893
37,940,892
38,929,892
39,918,892
40,907,892
41,896,892
42,885,892
43,873,892
44,862,892
45,851,891
46,840,891
47,829,891
48,818,891
49,807,891
50,796,891
51,785,891
52,774,891
53,763,891
54,752,890
55,723,887
56,693,886
57,671,883
58,643,881
59,620,878
60,597,874
61,574,871
62,551,868
63,528,865
64,505,862
65,486,858
66,467,856
67,450,852
68,432,852
69,416,849
70,401,847
71,386,845
72,376,844
73,366,842
74,356,841
75,347,839
76,337,838
77,327,836
78,317,835
79,307,834
80,297,832
81,288,831
82,278,829
83,274,824
84,269,821
85,272,817
86,275,813
87,279,809
88,282,805
89,285,801
90,288,797
91,291,793
92,294,789
93,298,785
94,301,781
95,304,777
96,307,773
97,310,769
98,313,765
99,317,761
100,320,757
101,323,753
102,326,749
103,329,745
104,333,741
105,336,737
106,339,733
107,342,729
108,345,725
109,348,721
110,352,717
111,355,713
112,358,709
113,361,705
114,364,701
115,367,697
116,371,693
117,374,689
118,377,685
119,380,681
120,383,677
121,386,673
122,390,669
123,393,665
124,396,661
125,399,657
126,402,653
127,406,649
128,409,645
129,412,641
130,415,637
131,408,631
132,401,626
133,394,621
134,388,615
135,381,610
136,374,605
137,367,599
138,360,594
139,353,589
140,348,587
141,344,584
142,339,581
143,335,578
144,330,575
145,325,572
146,321,569
147,316,566
148,312,560
149,308,556
150,310,556
151,312,556
152,314,556
153,316,556
154,318,556
155,320,555
156,322,555
157,324,555
158,326,555
159,328,555
160,330,555
161,332,554
162,335,554
163,337,554
164,339,554
165,341,554
166,343,554
167,345,553
168,347,553
169,349,553
170,351,553
171,353,553
172,355,553
173,357,552
174,359,552
175,361,552
176,363,552
177,365,552
178,367,552
179,369,551
180,371,551
181,373,551
182,375,551
183,377,551
184,379,551
185,381,551
186,383,550
187,385,550
188,387,550
189,389,550
190,391,550
191,393,550
192,395,549
193,397,549
194,399,549
195,401,549
196,404,549
197,406,549
198,408,548
199,410,548
200,412,548
201,414,548
202,416,548
203,418,548
204,420,547
205,422,547
206,424,547
207,426,547
208,428,547
209,430,547
210,432,547
211,434,546
212,436,546
213,438,546
214,440,546
215,442,546
216,444,546
217,446,545
218,448,545
219,450,545
220,452,545
221,454,545
222,456,545
223,458,544
224,460,544
225,462,544
226,464,544
227,466,544
228,468,544
229,470,543
230,473,543
231,475,543
232,477,543
233,479,543
234,481,543
235,483,542
236,485,542
237,487,542
238,489,542
239,491,542
240,493,542
241,495,542
242,497,541
243,499,541
244,501,541
245,503,541
246,505,541
247,507,541
248,509,540
249,511,540
250,513,540
251,515,540
252,517,540
253,519,540
254,521,539
255,523,539
256,525,539
257,527,539
258,529,539
259,531,539
260,533,538
261,535,538
262,537,538
263,540,538
264,542,538
265,544,538
266,546,537
267,548,537
268,550,537
269,552,537
270,554,537
271,556,537
272,558,537
273,560,536
274,562,536
275,564,536
276,566,536
277,568,536
278,570,536
279,572,535
280,574,535
281,576,535
282,578,535
283,580,535
284,582,535
285,584,534
286,586,534
287,588,534
288,590,534
289,592,534
290,594,534
291,596,533
292,598,533
293,600,533
294,602,533
295,604,533
296,606,533
297,609,533
298,611,532
299,613,532
300,615,532
301,617,532
302,619,532
303,621,532
304,623,531
305,625,531
306,627,531
307,629,531
308,631,531
309,633,531
310,635,530
311,637,530
312,639,530
313,641,530
314,643,530
315,645,530
316,647,529
317,649,529
318,651,529
319,653,529
320,655,529
321,657,529
322,659,528
323,661,528
324,663,528
325,665,528
326,667,528
327,669,528
328,671,528
329,673,527
330,675,527
331,678,527
332,680,527
333,682,527
334,684,527
335,686,526
336,688,526
337,690,526
338,692,526
339,694,526
340,696,526
341,698,525
342,700,525
343,702,525
344,704,525
345,706,525
346,708,525
347,710,524
348,712,524
349,714,524
350,716,524
351,718,524
352,720,524
353,722,524
354,724,523
355,726,523
356,728,523
357,730,523
358,732,523
359,734,523
360,736,522
361,738,522
362,740,522
363,742,522
364,745,522
365,747,522
366,749,521
367,751,521
368,753,521
369,755,521
370,757,521
371,759,521
372,761,520
373,763,520
374,765,520
375,767,520
376,769,520
377,771,520
378,773,519
379,775,519
380,777,519
381,779,519
382,781,519
383,783,519
384,785,519
385,787,518
386,789,518
387,791,518
388,793,518
389,795,518
390,797,518
391,799,517
392,801,517
393,803,517
394,805,517
395,807,517
396,809,517
397,811,516
398,814,516
399,816,516
400,818,516
401,820,516
402,822,516
403,824,515
404,826,515
405,838,512
406,851,509
407,864,506
408,876,503
409,889,499
410,902,496
411,914,493
412,927,490
413,939,487
414,952,483
415,965,480
416,977,477
417,990,474
418,1003,471
419,1015,467
420,1028,464
421,1040,461
422,1053,458
423,1066,455
424,1078,451
425,1091,448
426,1117,443
427,1138,442
428,1158,440
429,1180,441
430,1202,441
431,1222,443
432,1243,444
433,1263,446
434,1283,447
435,1303,449
436,1323,450
437,1344,452
438,1362,460
439,1380,468
440,1399,476
441,1417,485
442,1436,493
443,1454,501
444,1472,510
445,1491,518
446,1509,526
447,1527,535
448,1546,543
449,1564,551
450,1582,559
451,1601,568
452,1617,580
453,1634,592
454,1650,607
455,1667,622
456,1683,638
457,1699,653
458,1716,668
459,1732,685
460,1748,701
461,1760,698
462,1770,689
463,1780,679
464,1790,670
465,1800,665
466,1809,660
467,1818,654
468,1827,649
469,1837,644
470,1846,639
471,1855,633
472,1862,632
473,1868,630
474,1876,631
475,1885,631
476,1893,632
477,1901,632
478,1906,633
479,1904,635
480,1901,637
481,1899,639
482,1897,641
483,1894,643
484,1892,645
485,1890,647
486,1887,649
487,1885,651
488,1882,654
489,1880,656
490,1878,658
491,1875,660
492,1873,662
493,1870,664
494,1868,666
495,1866,668
496,1857,662
497,1852,663
498,1847,663
499,1841,663
500,1836,663
501,1831,663
502,1826,663
503,1820,663
504,1815,663
505,1810,663
506,1805,663
507,1799,663
508,1794,663
509,1789,663
510,1784,663
511,1778,663
512,1773,663
513,1768,663
514,1763,663
515,1757,663
516,1752,663
517,1747,663
518,1741,663
519,1736,663
520,1731,663
521,1726,663
522,1720,663
523,1715,663
524,1710,663
525,1705,664
526,1699,664
527,1694,664
528,1689,664
529,1684,664
530,1678,664
531,1673,664
532,1668,664
533,1663,664
534,1657,664
535,1652,664
536,1647,664
537,1642,664
538,1636,664
539,1631,664
540,1626,664
541,1620,664
542,1615,664
543,1610,664
544,1605,664
545,1599,664
546,1594,664
547,1589,664
548,1584,664
549,1578,664
550,1573,664
551,1568,664
552,1563,665
553,1557,665
554,1552,665
555,1547,665
556,1542,665
557,1536,665
558,1531,665
559,1526,665
560,1520,665
561,1515,665
562,1510,665
563,1505,665
564,1499,665
565,1494,665
566,1489,665
567,1484,665
568,1478,665
569,1473,665
570,1468,665
571,1463,665
572,1457,665
573,1452,665
574,1447,665
575,1442,665
576,1436,665
577,1431,665
578,1426,665
579,1420,665
580,1415,666
581,1410,666
582,1405,666
583,1399,666
584,1394,666
585,1389,666
586,1384,666
587,1378,666
588,1373,666
589,1368,666
590,1363,666
591,1357,666
592,1352,666
593,1347,666
594,1342,666
595,1336,666
596,1331,666
597,1326,666
598,1320,666
599,1315,666
600,1310,666
601,1305,666
602,1299,666
603,1294,666
604,1289,666
605,1284,666
606,1278,666
607,1273,666
608,1268,667
609,1263,667
610,1257,667
611,1252,667
612,1247,667
613,1242,667
614,1236,667
615,1231,667
616,1226,667
617,1220,667
618,1215,667
619,1210,667
620,1205,667
621,1199,667
622,1194,667
623,1189,667
624,1184,667
625,1178,667
626,1173,667
627,1168,667
628,1163,667
629,1157,667
630,1152,667
631,1147,667
632,1142,667
633,1136,667
634,1131,667
635,1126,668
636,1120,668
637,1115,668
638,1110,668
639,1105,668
640,1099,668
641,1094,668
642,1089,668
643,1084,668
644,1078,668
645,1073,668
646,1068,668
647,1063,668
648,1057,668
649,1052,668
650,1047,668
651,1042,668
652,1036,668
653,1031,668
654,1026,668
655,1020,668
656,1015,668
657,1010,668
658,1005,668
659,999,668
660,994,668
661,989,668
662,984,668
663,978,669
664,973,669
665,968,669
666,963,669
667,957,669
668,952,669
669,947,669
670,942,669
671,936,669
672,931,669
673,926,669
674,920,669
675,915,669
676,910,669
677,905,669
678,899,669
679,894,669
680,889,669
681,884,669
682,878,669
683,873,669
684,868,669
685,863,669
686,857,669
687,852,669
688,847,669
689,842,669
690,836,669
691,831,670
692,826,670
693,821,670
694,815,670
695,810,670
696,805,670
697,799,670
698,794,670
699,789,670
700,784,670
701,778,670
702,773,670
703,768,670
704,763,670
705,757,670
706,752,670
707,747,670
708,742,670
709,736,670
710,731,670
711,726,670
712,721,670
713,715,670
714,710,670
715,705,670
716,699,670
717,694,670
718,689,671
719,684,671
720,684,671
721,684,671
722,684,671
723,684,671
724,684,671
725,684,671
726,684,671
727,684,671
728,684,671
729,684,671
730,684,671
731,684,671
732,684,671
733,684,671
734,684,671
735,684,671
736,684,671
737,684,671
738,684,671
739,684,671
740,684,671
741,684,671
742,684,671
743,684,671
744,684,671
745,684,671
746,684,671
747,684,671
748,684,671
749,684,671
