frame,player_id,team,x,y
0,1,1,874,678
0,3,2,238,552
0,4,2,387,335
0,5,2,1405,859
0,6,2,606,629
0,7,2,376,773
0,8,1,1011,490
0,9,1,1592,652
0,10,1,347,532
0,11,1,556,736
0,12,2,1245,466
0,13,1,1292,426
0,14,2,791,453
0,15,1,1331,481
0,16,1,1106,337
0,17,2,1162,752
0,18,1,890,391
0,19,2,1173,382
1,1,1,874,678
1,3,2,238,552
1,4,2,387,335
1,5,2,1405,858
1,6,2,606,629
1,7,2,376,773
1,8,1,1011,490
1,9,1,1592,652
1,10,1,347,532
1,11,1,556,736
1,12,2,1245,466
1,13,1,1292,426
1,14,2,791,453
1,15,1,1331,481
1,16,1,1106,337
1,17,2,1161,752
1,19,2,1173,382
1,18,1,890,392
2,4,2,386,335
2,3,2,239,553
2,15,1,1334,482
2,5,2,1403,859
2,9,1,1594,653
2,7,2,377,774
2,8,1,1012,490
2,12,2,1248,466
2,11,1,557,736
2,6,2,616,631
2,10,1,348,532
2,1,1,880,682
2,13,1,1294,429
2,14,2,791,453
2,18,1,891,391
2,16,1,1106,336
2,17,2,1157,752
3,15,1,1337,482
3,4,2,386,335
3,3,2,240,553
3,9,1,1599,655
3,12,2,1249,467
3,8,1,1014,491
3,5,2,1403,862
3,7,2,377,775
3,1,1,889,683
3,11,1,558,737
3,18,1,895,391
3,10,1,349,532
3,6,2,620,632
3,17,2,1157,752
3,14,2,792,454
3,16,1,1106,338
3,13,1,1296,429
3,22,2,1181,756
4,5,2,1393,862
4,3,2,241,553
4,4,2,386,336
4,15,1,1338,482
4,9,1,1602,659
4,8,1,1015,491
4,7,2,377,777
4,10,1,351,532
4,1,1,899,683
4,11,1,559,737
4,18,1,897,392
4,16,1,1106,337
4,6,2,623,631
4,13,1,1296,429
4,14,2,791,453
4,12,2,1251,465
4,17,2,1162,753
4,22,2,1179,755
5,10,1,352,533
5,3,2,241,554
5,4,2,386,336
5,1,1,907,682
5,15,1,1343,481
5,8,1,1015,491
5,5,2,1385,864
5,7,2,377,780
5,9,1,1606,663
5,18,1,899,392
5,11,1,560,737
5,16,1,1107,331
5,6,2,626,631
5,13,1,1297,429
5,22,2,1189,755
5,14,2,791,454
5,17,2,1172,755
5,12,2,1251,448
6,6,2,632,635
6,10,1,354,533
6,4,2,386,336
6,3,2,242,555
6,15,1,1348,482
6,9,1,1610,666
6,8,1,1017,492
6,7,2,377,783
6,5,2,1374,867
6,1,1,914,683
6,17,2,1183,757
6,13,1,1299,430
6,18,1,900,392
6,19,2,1189,383
6,11,1,560,737
6,16,1,1107,329
6,14,2,792,455
6,12,2,1252,449
6,22,2,1199,757
7,6,2,637,636
7,4,2,386,336
7,10,1,357,533
7,3,2,242,556
